batter,bowler,balls,runs,wickets,dots,fours,sixes,dot_pct,strike_rate,average
Aaron Hardie,Akash Vasisht,6,9,0,0,0,0,0.0,150.0,9.0
Aaron Hardie,Akeal Hosein,15,25,1,4,1,2,26.67,166.67,25.0
Aaron Hardie,Ashok Sharma,16,20,2,4,2,0,25.0,125.0,10.0
Aaron Hardie,CV Stephen,8,10,0,2,0,0,25.0,125.0,10.0
Aaron Hardie,Harsh Dubey,13,20,0,4,0,2,30.77,153.85,20.0
Aaron Hardie,Josh Hazlewood,6,6,0,0,0,0,0.0,100.0,6.0
Aaron Hardie,Krunal Pandya,5,9,0,1,1,0,20.0,180.0,9.0
Aaron Hardie,Kuldeep Yadav,20,23,0,3,0,0,15.0,115.0,23.0
Aaron Hardie,Liam Livingstone,13,18,1,3,1,0,23.08,138.46,18.0
Aaron Hardie,Mohammed Siraj,8,9,0,0,0,0,0.0,112.5,9.0
Aaron Hardie,Mukhtar Hussain,4,7,0,1,0,0,25.0,175.0,7.0
Aaron Hardie,Rachin Ravindra,3,4,0,0,0,0,0.0,133.33,4.0
Aaron Hardie,Rasikh Dar,10,7,0,3,0,0,30.0,70.0,7.0
Aaron Hardie,Sahan Arachchige,7,11,0,0,1,0,0.0,157.14,11.0
Aaron Hardie,Senitha Halambage,14,18,1,4,1,0,28.57,128.57,18.0
Aaron Hardie,Shardul Thakur,4,3,1,2,0,0,50.0,75.0,3.0
Aaron Hardie,Shivam Dube,1,0,1,1,0,0,100.0,0.0,0.0
Aaron Hardie,Suryansh Shedge,4,11,0,1,2,0,25.0,275.0,11.0
Aaron Hardie,Vaisakh Chandran,18,21,1,2,0,0,11.11,116.67,21.0
Aaron Hardie,Varun Chakravarthy,1,0,1,1,0,0,100.0,0.0,0.0
Aaron Hardie,Washington Sundar,5,11,0,0,0,1,0.0,220.0,11.0
Aaron Hardie,Will Jacks,1,1,0,0,0,0,0.0,100.0,1.0
Abdul Samad,Bhuvneshwar Kumar,7,7,1,5,0,1,71.43,100.0,7.0
Abdul Samad,Corbin Bosch,19,26,5,9,0,3,47.37,136.84,5.2
Abdul Samad,Harsh Dubey,1,1,0,0,0,0,0.0,100.0,1.0
Abdul Samad,Jamie Overton,2,1,0,1,0,0,50.0,50.0,1.0
Abdul Samad,Josh Hazlewood,2,2,0,0,0,0,0.0,100.0,2.0
Abdul Samad,KC Cariappa,2,5,0,0,1,0,0.0,250.0,5.0
Abdul Samad,Kartik Tyagi,21,63,0,3,3,7,14.29,300.0,63.0
Abdul Samad,Liam Livingstone,3,7,0,1,0,1,33.33,233.33,7.0
Abdul Samad,Manisankar Murasingh,10,26,0,3,1,3,30.0,260.0,26.0
Abdul Samad,Mayank Markande,1,0,1,1,0,0,100.0,0.0,0.0
Abdul Samad,Ottneil Baartman,7,17,0,1,2,1,14.29,242.86,17.0
Abdul Samad,Pat Cummins,13,8,2,8,1,0,61.54,61.54,4.0
Abdul Samad,Prashant Solanki,18,33,0,5,1,3,27.78,183.33,33.0
Abdul Samad,Rachin Ravindra,2,1,0,1,0,0,50.0,50.0,1.0
Abdul Samad,Romario Shepherd,8,12,0,3,0,1,37.5,150.0,12.0
Abdul Samad,Shivam Shukla,4,4,0,2,0,0,50.0,100.0,4.0
Abdul Samad,Sunil Narine,3,1,2,2,0,0,66.67,33.33,0.5
Abdul Samad,Sushant Mishra,4,2,0,2,0,0,50.0,50.0,2.0
Abdul Samad,T Natarajan,25,21,1,13,1,1,52.0,84.0,21.0
Abdul Samad,Will Jacks,1,0,1,1,0,0,100.0,0.0,0.0
Abdul Samad,Yash Thakur,4,14,0,0,0,2,0.0,350.0,14.0
Abhimanyu Easwaran,Akeal Hosein,22,50,0,1,5,2,4.55,227.27,50.0
Abhimanyu Easwaran,Ashish Singh,13,32,0,2,2,3,15.38,246.15,32.0
