name,format,overs,runs_conceded,wickets,matches
Rishabh Pant,T20,0,0,0,153
Harnoor Singh,T20,0,0,0,40
Suryakumar Yadav,T20,3,46,0,141
KL Rahul,T20,15,176,0,175
Aiden Markram,T20,253,2753,60,167
Heinrich Klaasen,T20,0,0,0,82
Yuzvendra Chahal,T20,237,2269,77,74
Akeal Hosein,T20,532,4606,147,147
Mohammed Shami,T20,529,4565,223,144
Arjun Tendulkar,T20,174,1612,72,50
Adam Zampa,T20,279,2546,115,76
Ayush Mhatre,T20,11,124,4,159
Glenn Phillips,T20,254,2651,69,101
Ruturaj Gaikwad,T20,0,0,0,172
Sanju Samson,T20,0,0,0,172
Yashvardhan Dalal,T20,0,0,0,121
Shivam Dube,T20,267,2836,67,154
Ravindra Jadeja,T20,478,4332,159,155
Prashant Veer,T20,472,4197,141,151
Wanindu Hasaranga,T20,311,2887,100,91
Mitchell Starc,T20,503,4599,208,140
Lungi Ngidi,T20,84,788,24,25
Pathum Nissanka,T20,0,0,0,134
Prithvi Shaw,T20,0,0,0,8
Nitish Kumar Reddy,T20,96,1051,23,34
Mukul Choudhary,T20,0,0,0,164
Sherfane Rutherford,T20,3,31,0,19
Tilak Varma,T20,31,356,6,135
Krunal Pandya,T20,306,3019,65,112
Auqib Nabi,T20,245,2327,77,71
Zeeshan Ansari,T20,37,374,7,13
Nandre Burger,T20,4,52,1,1
Mukesh Choudhary,T20,5,70,0,2
Abhishek Sharma,T20,173,1815,63,164
Travis Head,T20,5,78,1,13
Ishan Kishan,T20,0,0,0,156
Kamindu Mendis,T20,22,194,7,14
Arshin Kulkarni,T20,4,28,1,3
Kranthi Kumar,T20,299,2505,97,89
Will Jacks,T20,165,1641,57,84
Jofra Archer,T20,59,604,20,17
Jaydev Unadkat,T20,176,1801,42,55
Anrich Nortje,T20,171,1693,67,47
Avinov Choudhary,T20,338,3053,109,97
Vaibhav Suryavanshi,T20,8,123,4,95
Yashasvi Jaiswal,T20,0,0,0,106
Manish Pandey,T20,5,77,0,79
