match_id,date,format,team,opponent,venue,player,runs,balls,out,overs,runs_conceded,wickets,innings,position,fantasy_points,team_extras
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Virat Kohli,0,1,Yes,0,0,0,1,1,0,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Devdutt Padikkal,14,9,Yes,0,0,0,1,2,20,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Sai Sudharsan,5,6,Yes,0,0,0,1,3,7,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Rinku Singh,59,43,No,0,0,0,1,4,75,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Liam Livingstone,10,3,Yes,0,0,0,1,5,16,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Tim David,81,37,Yes,0,0,0,1,6,92,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Sunil Narine,17,11,Yes,4,44,1,1,7,48,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Azmatullah Omarzai,0,1,Yes,4,52,2,1,8,50,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Bhuvneshwar Kumar,5,6,Yes,4,36,2,1,9,57,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Josh Hazlewood,6,5,No,4,27,1,1,10,39,
RCBAvsMITest_20260404_151302,,T20,RCBA,MITest,Wankhede,Khaleel Ahmed,0,0,No,4,49,0,1,11,0,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Ryan Rickelton,52,29,Yes,0,0,0,2,1,63,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Ravi Singh,2,3,Yes,0,0,0,2,2,2,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Rajat Patidar,35,28,Yes,0,0,0,2,3,41,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Salil Arora,51,25,No,0,0,0,2,4,67,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Naman Dhir,61,26,Yes,0,0,0,2,5,72,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Hardik Pandya,6,3,Yes,4,45,0,2,6,12,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Jason Holder,0,1,No,2,31,0,2,7,0,
RCBAvsMITest_20260404_151302,,T20,MITest,RCBA,Wankhede,Sikandar Raza,0,2,Yes,2,21,1,2,8,25,
