team,matches,wins,losses,points,runs_scored,overs_faced,runs_conceded,overs_bowled,nrr
MISpin,4,1,3,2,617,80.34,741,80.51,-1.52
RCB,20,6,12,12,3443,397.7,3504,389.7000000000001,-0.33
PBKS1,13,6,7,12,2341,261.36,2335,261.36,0.02
SRH,20,14,6,28,3516,396.0300000000001,3493,402.72000000000014,0.2
LSG,14,4,10,8,2371,282.2100000000001,2371,280.85,-0.04
RBC,6,2,4,4,1304,121.02,1306,115.85,-0.5
DC3,21,11,10,22,3861,422.72000000000014,3835,422.3800000000001,0.05
NewbloodGT,8,5,3,10,1543,161.19,1398,159.18,0.79
CSKF,9,1,8,2,1610,181.36,1681,180.51,-0.44
PBKS2,8,4,4,8,1171,160.34,1256,153.85,-0.86
KKR3,6,3,3,6,897,115.34,1103,109.35,-2.31
MIPace,17,9,8,18,3035,337.70000000000005,3071,337.70000000000005,-0.11
PBKS3,1,1,0,2,184,20.0,181,20.17,0.23
SRHS,6,4,2,8,1062,120.51,1102,120.85,-0.31
GT,25,19,6,38,4416,492.72000000000014,3804,500.72000000000014,1.37
MIA,1,0,1,0,209,20.0,213,20.0,-0.2
MIB,1,1,0,2,213,20.0,209,20.0,0.2
DC4,1,0,1,0,161,20.17,162,20.0,-0.12
MIC,2,1,1,2,316,40.17,443,40.34,-3.12
PBKS4,1,0,1,0,224,20.17,241,20.17,-0.84
RCBS,1,1,0,2,225,20.17,204,20.17,1.04
RR2,2,2,0,4,258,28.5,239,40.17,3.1
kkr5,7,6,1,12,1225,140.51,1205,141.19,0.18
PBKS4N,2,0,2,0,396,40.34,401,40.0,-0.21
PBKS5F,1,0,1,0,148,20.17,150,20.0,-0.16
rr1,2,0,2,0,324,40.17,325,40.17,-0.02
RCBP,3,0,3,0,566,60.34,538,56.0,-0.23
CSK4,5,1,3,2,889,100.68,899,100.51,-0.11
DC5,2,1,1,2,358,40.17,353,40.17,0.12
GT_AK,1,1,0,2,174,20.0,173,20.17,0.12
PBKS,2,0,1,0,359,40.0,360,40.0,-0.03
rrbest,2,1,1,2,426,40.34,397,40.17,0.68
Lsgpace,2,1,1,2,389,38.0,433,38.34,-1.06
kkrspin,4,3,1,6,582,73.17,654,80.51,-0.17
rr9,1,0,1,0,163,20.0,164,20.0,-0.05
kkreden,1,1,0,2,164,20.0,163,20.0,0.05
kkrhyd,1,0,1,0,150,20.17,182,20.17,-1.59
KKR_spin,1,1,0,2,165,14.67,164,20.0,3.05
DC_spin,1,0,1,0,164,20.0,165,14.67,-3.05
CSK_spin,1,0,1,0,153,20.17,154,20.0,-0.11
